qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	8.197206e-02	9.100727e-16	7.330088e-02	8.865855e-07	-3.048846e-13	6.012975e-10	-3.367958e-13	6.739752e-10	2.135893e-07	1.622730e-16	2.394276e-07	2.895917e-12	
2.000000e-02	8.175793e-02	9.076954e-16	7.311464e-02	8.832420e-07	-3.931653e-14	1.203238e-09	-2.588842e-14	1.348420e-09	4.274070e-07	1.761330e-15	4.790770e-07	5.787429e-12	
3.000000e-02	8.140230e-02	9.037471e-16	7.280536e-02	8.790090e-07	-3.149436e-14	1.806466e-09	-3.866842e-15	2.024046e-09	6.416821e-07	1.458192e-15	7.191697e-07	8.682983e-12	
4.000000e-02	8.090701e-02	8.982483e-16	7.237464e-02	8.725417e-07	-2.917264e-14	2.411628e-09	1.204484e-14	2.702307e-09	8.566441e-07	1.180904e-14	9.599273e-07	1.157304e-11	
5.000000e-02	8.027464e-02	8.912275e-16	7.182472e-02	8.637373e-07	1.829934e-14	3.019374e-09	7.859148e-14	3.381176e-09	1.072524e-06	4.888977e-15	1.201571e-06	1.444999e-11	
6.000000e-02	7.950846e-02	8.827212e-16	7.115825e-02	8.540227e-07	-3.004071e-14	3.630359e-09	3.787484e-14	4.063945e-09	1.289554e-06	2.096077e-15	1.444328e-06	1.733488e-11	
7.000000e-02	7.861241e-02	8.727730e-16	7.037864e-02	8.419462e-07	2.306206e-15	4.245242e-09	8.761349e-14	4.750336e-09	1.507969e-06	8.789262e-15	1.688421e-06	2.019928e-11	
8.000000e-02	7.759105e-02	8.614337e-16	6.948976e-02	8.285839e-07	-3.368534e-14	4.864690e-09	6.093036e-14	5.441001e-09	1.728006e-06	3.739746e-15	1.934078e-06	2.306226e-11	
9.000000e-02	7.644957e-02	8.487607e-16	6.849608e-02	8.136175e-07	-9.407541e-15	5.489378e-09	1.018097e-13	6.136579e-09	1.949904e-06	1.543403e-15	2.181526e-06	2.591359e-11	
1.000000e-01	7.519367e-02	8.348174e-16	6.740255e-02	7.969687e-07	3.351991e-14	6.119990e-09	1.636324e-13	6.837739e-09	2.173906e-06	1.214208e-15	2.430993e-06	2.874495e-11	
1.100000e-01	7.382959e-02	8.196731e-16	6.621432e-02	7.790811e-07	2.693315e-15	6.757221e-09	1.430948e-13	7.545053e-09	2.400259e-06	3.105559e-15	2.682716e-06	3.156593e-11	
1.200000e-01	7.236400e-02	8.034018e-16	6.493713e-02	7.597702e-07	1.661800e-14	7.401776e-09	1.727180e-13	8.259349e-09	2.629214e-06	1.578622e-15	2.936928e-06	3.436340e-11	
1.300000e-01	7.080398e-02	7.860821e-16	6.357714e-02	7.395825e-07	-9.304821e-15	8.054374e-09	1.579825e-13	8.981141e-09	2.861026e-06	1.465703e-14	3.193864e-06	3.715489e-11	
1.400000e-01	6.915696e-02	7.677965e-16	6.214070e-02	7.181628e-07	2.015359e-14	8.715749e-09	2.052213e-13	9.711129e-09	3.095956e-06	1.318452e-14	3.453761e-06	3.991659e-11	
1.500000e-01	6.743062e-02	7.486303e-16	6.063430e-02	6.957014e-07	-3.489401e-15	9.386648e-09	1.933851e-13	1.045005e-08	3.334269e-06	4.411584e-15	3.716868e-06	4.264776e-11	
1.600000e-01	6.563291e-02	7.286716e-16	5.906480e-02	6.724819e-07	2.150810e-14	1.006784e-08	2.359455e-13	1.119856e-08	3.576237e-06	1.891742e-14	3.983427e-06	4.535485e-11	
1.700000e-01	6.377190e-02	7.080103e-16	5.743910e-02	6.484893e-07	-2.765652e-16	1.076010e-08	2.265864e-13	1.195751e-08	3.822138e-06	1.211014e-14	4.253689e-06	4.802600e-11	
1.800000e-01	6.185579e-02	6.867372e-16	5.576424e-02	6.239180e-07	7.573056e-15	1.146424e-08	2.502166e-13	1.271709e-08	4.072259e-06	1.973786e-15	4.527907e-06	5.066231e-11	
1.900000e-01	5.989282e-02	6.649439e-16	5.404733e-02	5.987855e-07	-1.203946e-14	1.218109e-08	2.435577e-13	1.348772e-08	4.326892e-06	1.304053e-14	4.806335e-06	5.325094e-11	
2.000000e-01	5.789121e-02	6.427216e-16	5.229539e-02	5.733738e-07	-4.884504e-15	1.291148e-08	2.670279e-13	1.428118e-08	4.586338e-06	4.474461e-15	5.089237e-06	5.580123e-11	
2.100000e-01	5.585912e-02	6.201608e-16	5.051548e-02	5.477064e-07	-1.069860e-14	1.365629e-08	2.763637e-13	1.508786e-08	4.850907e-06	1.688364e-14	5.376873e-06	5.830023e-11	
2.200000e-01	5.380456e-02	5.973506e-16	4.871447e-02	5.218082e-07	-2.796926e-14	1.441643e-08	2.732279e-13	1.590450e-08	5.120917e-06	1.459485e-14	5.669518e-06	6.073188e-11	
2.300000e-01	5.173541e-02	5.743784e-16	4.689926e-02	4.958915e-07	-2.169235e-14	1.519281e-08	2.964744e-13	1.674017e-08	5.396698e-06	5.625462e-15	5.967428e-06	6.309954e-11	
2.400000e-01	4.965929e-02	5.513288e-16	4.507626e-02	4.701378e-07	-5.166549e-15	1.598639e-08	3.314213e-13	1.759885e-08	5.678589e-06	7.208851e-15	6.270904e-06	6.540730e-11	
2.500000e-01	4.758357e-02	5.282837e-16	4.325201e-02	4.445109e-07	-4.127464e-16	1.679816e-08	3.538563e-13	1.848466e-08	5.966940e-06	3.607087e-15	6.580204e-06	6.762931e-11	
2.600000e-01	4.551531e-02	5.053215e-16	4.143255e-02	4.191534e-07	3.899264e-15	1.762913e-08	3.756642e-13	1.936517e-08	6.262115e-06	4.810312e-15	6.895627e-06	6.976302e-11	
2.700000e-01	4.346125e-02	4.825168e-16	3.962381e-02	3.940701e-07	-2.109845e-15	1.848037e-08	3.864941e-13	2.026732e-08	6.564487e-06	2.324805e-15	7.217447e-06	7.178303e-11	
