qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	8.617427e-05	9.567266e-19	8.096594e-05	8.559595e-10	1.288271e-14	2.044023e-06	-8.983215e-05	8.227220e-04	7.260655e-04	8.384445e-17	8.902543e-04	8.259568e-04	
2.000000e-02	8.602730e-05	9.550949e-19	8.082976e-05	8.534581e-10	1.110956e-14	4.087959e-06	-4.566756e-05	8.052444e-04	1.452100e-03	3.987309e-15	1.646437e-03	8.116860e-04	
3.000000e-02	8.578290e-05	9.523815e-19	8.060337e-05	8.516466e-10	-7.711137e-16	6.131722e-06	-1.213935e-06	7.878368e-04	2.178073e-03	3.613516e-16	2.402168e-03	7.974592e-04	
4.000000e-02	8.544191e-05	9.485958e-19	8.028748e-05	8.469910e-10	-8.809153e-15	8.175228e-06	4.349148e-05	7.705209e-04	2.903955e-03	5.370478e-15	3.157400e-03	7.832663e-04	
5.000000e-02	8.500549e-05	9.437505e-19	7.988316e-05	8.422323e-10	-8.537975e-15	1.021840e-05	8.841255e-05	7.532667e-04	3.629717e-03	6.025079e-16	3.912086e-03	7.690928e-04	
6.000000e-02	8.447511e-05	9.378621e-19	7.939182e-05	8.356493e-10	-6.115099e-15	1.226115e-05	1.335126e-04	7.360639e-04	4.355331e-03	3.639787e-15	4.666176e-03	7.549201e-04	
7.000000e-02	8.385256e-05	9.309504e-19	7.881507e-05	8.287581e-10	8.170998e-16	1.430341e-05	1.787528e-04	7.188857e-04	5.080770e-03	6.199214e-16	5.419627e-03	7.407275e-04	
8.000000e-02	8.313994e-05	9.230387e-19	7.815477e-05	8.204605e-10	-4.124200e-16	1.634511e-05	2.240945e-04	7.017123e-04	5.806011e-03	1.521276e-16	6.172403e-03	7.264909e-04	
9.000000e-02	8.233962e-05	9.141534e-19	7.741315e-05	8.111098e-10	-1.181269e-15	1.838619e-05	2.695004e-04	6.845226e-04	6.531031e-03	5.639743e-16	6.924461e-03	7.121821e-04	
1.000000e-01	8.145426e-05	9.043239e-19	7.659284e-05	7.998824e-10	1.375921e-15	2.042659e-05	3.149300e-04	6.672854e-04	7.255811e-03	1.018407e-15	7.675743e-03	6.977679e-04	
1.100000e-01	8.048678e-05	8.935827e-19	7.569617e-05	7.887127e-10	1.055148e-15	2.246627e-05	3.603410e-04	6.499649e-04	7.980335e-03	8.599345e-16	8.426250e-03	6.832174e-04	
