qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	8.197206e-02	9.100727e-16	7.330088e-02	8.865855e-07	1.836397e-06	6.012975e-10	2.058537e-06	7.183858e-10	2.135893e-07	5.169834e-09	2.394269e-07	5.794743e-09	
2.000000e-02	8.175793e-02	9.076954e-16	7.311464e-02	8.832420e-07	3.671268e-06	1.203238e-09	4.114951e-06	1.436663e-09	4.274070e-07	1.033537e-08	4.790763e-07	1.158284e-08	
3.000000e-02	8.140230e-02	9.037471e-16	7.280536e-02	8.790090e-07	5.503088e-06	1.806466e-09	6.167502e-06	2.156570e-09	6.416821e-07	1.549232e-08	7.191689e-07	1.735864e-08	
4.000000e-02	8.090701e-02	8.982483e-16	7.237464e-02	8.725417e-07	7.330337e-06	2.411628e-09	8.216708e-06	2.878045e-09	8.566441e-07	2.063640e-08	9.599265e-07	2.311651e-08	
5.000000e-02	8.027464e-02	8.912275e-16	7.182472e-02	8.637373e-07	9.151498e-06	3.019374e-09	1.025251e-05	3.597867e-09	1.072524e-06	2.576334e-08	1.201571e-06	2.885079e-08	
6.000000e-02	7.950846e-02	8.827212e-16	7.115825e-02	8.540227e-07	1.096506e-05	3.630359e-09	1.228100e-05	4.322148e-09	1.289554e-06	3.086890e-08	1.444327e-06	3.455596e-08	
7.000000e-02	7.861241e-02	8.727730e-16	7.037864e-02	8.419462e-07	1.276953e-05	4.245242e-09	1.429745e-05	5.048044e-09	1.507969e-06	3.594884e-08	1.688420e-06	4.022643e-08	
8.000000e-02	7.759105e-02	8.614337e-16	6.948976e-02	8.285839e-07	1.456341e-05	4.864690e-09	1.629994e-05	5.777597e-09	1.728006e-06	4.099899e-08	1.934078e-06	4.585671e-08	
9.000000e-02	7.644957e-02	8.487607e-16	6.849608e-02	8.136175e-07	1.634523e-05	5.489378e-09	1.828651e-05	6.508815e-09	1.949904e-06	4.601516e-08	2.181526e-06	5.144128e-08	
1.000000e-01	7.519367e-02	8.348174e-16	6.740255e-02	7.969687e-07	1.811352e-05	6.119990e-09	2.025529e-05	7.244568e-09	2.173906e-06	5.099325e-08	2.430992e-06	5.697466e-08	
1.100000e-01	7.382959e-02	8.196731e-16	6.621432e-02	7.790811e-07	1.986682e-05	6.757221e-09	2.220414e-05	7.984040e-09	2.400259e-06	5.592917e-08	2.682715e-06	6.245160e-08	
1.200000e-01	7.236400e-02	8.034018e-16	6.493713e-02	7.597702e-07	2.160372e-05	7.401776e-09	2.413165e-05	8.727643e-09	2.629214e-06	6.081888e-08	2.936928e-06	6.786676e-08	
1.300000e-01	7.080398e-02	7.860821e-16	6.357714e-02	7.395825e-07	2.332279e-05	8.054374e-09	2.603552e-05	9.476960e-09	2.861026e-06	6.565842e-08	3.193863e-06	7.321481e-08	
1.400000e-01	6.915696e-02	7.677965e-16	6.214070e-02	7.181628e-07	2.502264e-05	8.715749e-09	2.791397e-05	1.023243e-08	3.095956e-06	7.044384e-08	3.453760e-06	7.849050e-08	
1.500000e-01	6.743062e-02	7.486303e-16	6.063430e-02	6.957014e-07	2.670189e-05	9.386648e-09	2.976534e-05	1.099304e-08	3.334269e-06	7.517129e-08	3.716867e-06	8.368887e-08	
1.600000e-01	6.563291e-02	7.286716e-16	5.906480e-02	6.724819e-07	2.835921e-05	1.006784e-08	3.158773e-05	1.176119e-08	3.576237e-06	7.983697e-08	3.983426e-06	8.880479e-08	
1.700000e-01	6.377190e-02	7.080103e-16	5.743910e-02	6.484893e-07	2.999326e-05	1.076010e-08	3.337977e-05	1.253687e-08	3.822138e-06	8.443715e-08	4.253689e-06	9.383337e-08	
1.800000e-01	6.185579e-02	6.867372e-16	5.576424e-02	6.239180e-07	3.160274e-05	1.146424e-08	3.511074e-05	1.329958e-08	4.072259e-06	8.896817e-08	4.527907e-06	9.876971e-08	
