qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	4.256231e-05	4.725366e-19	3.945741e-05	4.794314e-10	5.812543e-04	3.553231e-06	3.543014e-04	2.318651e-03	1.262157e-03	1.636350e-06	1.357349e-03	8.491876e-04	
2.000000e-02	4.242630e-05	4.710266e-19	3.933350e-05	4.777974e-10	1.162193e-03	7.106017e-06	1.112397e-03	2.180007e-03	2.524157e-03	3.271811e-06	2.638967e-03	8.852027e-04	
3.000000e-02	4.220058e-05	4.685206e-19	3.912783e-05	4.748545e-10	1.742501e-03	1.065792e-05	1.871837e-03	2.043722e-03	3.785842e-03	4.905498e-06	3.885477e-03	9.740355e-04	
4.000000e-02	4.188660e-05	4.650346e-19	3.884167e-05	4.704864e-10	2.321864e-03	1.420851e-05	2.632039e-03	1.909730e-03	5.047061e-03	6.536523e-06	8.610900e-03	2.868889e-04	
5.000000e-02	4.148633e-05	4.605908e-19	3.847685e-05	4.655005e-10	2.899968e-03	1.775737e-05	3.392457e-03	1.777997e-03	6.307667e-03	8.164003e-06	6.421045e-03	1.052264e-03	
6.000000e-02	4.100230e-05	4.552170e-19	3.803568e-05	4.591736e-10	3.476499e-03	2.130412e-05	4.152550e-03	1.648445e-03	7.567522e-03	9.787057e-06	7.701347e-03	1.253208e-03	
7.000000e-02	4.043755e-05	4.489470e-19	3.752078e-05	4.517610e-10	4.051146e-03	2.484839e-05	4.911606e-03	1.520901e-03	8.826495e-03	1.140481e-05	9.065267e-03	1.051975e-03	
8.000000e-02	3.979558e-05	4.418197e-19	3.693538e-05	4.434073e-10	4.623599e-03	2.838984e-05	5.669308e-03	1.395296e-03	1.008447e-02	1.301638e-05	1.095696e-02	1.240628e-03	
9.000000e-02	3.908032e-05	4.338787e-19	3.628302e-05	4.341174e-10	5.193547e-03	3.192819e-05	6.424827e-03	1.271369e-03	1.134134e-02	1.462090e-05	1.229585e-02	1.201886e-03	
1.000000e-01	3.829612e-05	4.251724e-19	3.556759e-05	4.239098e-10	5.760685e-03	3.546317e-05	7.177772e-03	1.148940e-03	1.259701e-02	1.621751e-05	1.363159e-02	1.163045e-03	
1.100000e-01	3.744767e-05	4.157527e-19	3.479333e-05	4.128946e-10	6.324707e-03	3.899459e-05	7.927481e-03	1.027736e-03	1.385142e-02	1.780534e-05	1.454499e-02	1.216753e-03	
1.200000e-01	3.653998e-05	4.056753e-19	3.396477e-05	4.012316e-10	6.885310e-03	4.252229e-05	8.673380e-03	9.074693e-04	1.510451e-02	1.938356e-05	1.580793e-02	1.110918e-03	
1.300000e-01	3.557830e-05	3.949985e-19	3.308657e-05	3.888386e-10	7.442195e-03	4.604618e-05	9.414900e-03	7.878198e-04	1.635625e-02	2.095130e-05	1.706663e-02	1.005049e-03	
1.400000e-01	3.456810e-05	3.837830e-19	3.216375e-05	3.758846e-10	7.995064e-03	4.956624e-05	1.015143e-02	6.684362e-04	1.760662e-02	2.250774e-05	1.832103e-02	8.987228e-04	
1.500000e-01	3.351500e-05	3.720913e-19	3.120133e-05	3.623660e-10	8.543622e-03	5.308250e-05	1.088236e-02	5.489506e-04	1.885565e-02	2.405204e-05	1.957117e-02	7.914794e-04	
1.600000e-01	3.242474e-05	3.599870e-19	3.020451e-05	3.484916e-10	9.087578e-03	5.659508e-05	1.160704e-02	4.290107e-04	2.010336e-02	2.558339e-05	2.081708e-02	6.828123e-04	
1.700000e-01	3.130310e-05	3.475342e-19	2.917853e-05	3.342470e-10	9.626644e-03	6.010419e-05	1.232494e-02	3.083966e-04	2.134985e-02	2.710097e-05	2.205885e-02	5.721719e-04	
1.800000e-01	3.015585e-05	3.347972e-19	2.812859e-05	3.197266e-10	1.016054e-02	6.361009e-05	1.303541e-02	1.875835e-04	2.259519e-02	2.860399e-05	2.329661e-02	4.589678e-04	
1.900000e-01	2.898874e-05	3.218397e-19	2.705990e-05	3.050676e-10	1.068897e-02	6.711317e-05	1.373782e-02	7.422003e-05	2.383954e-02	3.009164e-05	2.453052e-02	3.425821e-04	
2.000000e-01	2.780743e-05	3.087244e-19	2.597761e-05	2.903124e-10	1.121168e-02	7.061390e-05	1.443154e-02	8.907379e-05	2.508304e-02	3.156317e-05	2.576078e-02	2.224437e-04	
2.100000e-01	2.661741e-05	2.955126e-19	2.488663e-05	2.755059e-10	1.172838e-02	7.411285e-05	1.511595e-02	2.123020e-04	2.632592e-02	3.301778e-05	2.698771e-02	9.871014e-05	
2.200000e-01	2.542403e-05	2.822635e-19	2.379189e-05	2.607073e-10	1.223881e-02	7.761071e-05	1.579020e-02	3.469844e-04	2.756841e-02	3.445474e-05	2.821158e-02	4.239966e-05	
2.300000e-01	2.423242e-05	2.690339e-19	2.269802e-05	2.460310e-10	1.274270e-02	8.110827e-05	1.645387e-02	4.882736e-04	2.881079e-02	3.587330e-05	2.943276e-02	1.742885e-04	
2.400000e-01	2.304744e-05	2.558780e-19	2.160947e-05	2.315734e-10	1.323980e-02	8.460644e-05	1.710598e-02	6.362359e-04	3.005339e-02	3.727273e-05	3.065167e-02	3.186013e-04	
2.500000e-01	2.187371e-05	2.428470e-19	2.053043e-05	2.173068e-10	1.372984e-02	8.810627e-05	1.774603e-02	7.916211e-04	3.129658e-02	3.865232e-05	3.186881e-02	4.719748e-04	
2.600000e-01	2.071553e-05	2.299886e-19	1.946484e-05	2.033475e-10	1.421259e-02	9.160892e-05	1.837320e-02	9.553987e-04	3.254077e-02	4.001136e-05	3.308474e-02	6.352604e-04	
2.700000e-01	1.957688e-05	2.173470e-19	1.841634e-05	1.897145e-10	1.468780e-02	9.511572e-05	1.898670e-02	1.128677e-03	3.378643e-02	4.134916e-05	3.430006e-02	8.096435e-04	
2.800000e-01	1.846140e-05	2.049627e-19	1.738828e-05	1.764989e-10	1.515523e-02	9.862811e-05	1.958576e-02	1.312685e-03	3.503408e-02	4.266507e-05	3.551546e-02	9.964615e-04	
2.900000e-01	1.737240e-05	1.928724e-19	1.638369e-05	1.636690e-10	1.561464e-02	1.021477e-04	2.016947e-02	1.508758e-03	3.628428e-02	4.395841e-05	3.673175e-02	1.197180e-03	
3.000000e-01	1.631281e-05	1.811086e-19	1.540529e-05	1.513030e-10	1.606582e-02	1.056762e-04	2.073720e-02	1.718370e-03	3.753767e-02	4.522856e-05	3.965199e-02	1.421015e-04	
3.100000e-01	1.528523e-05	1.697001e-19	1.445548e-05	1.394460e-10	1.650853e-02	1.092156e-04	2.128782e-02	1.943091e-03	3.879491e-02	4.647489e-05	4.093494e-02	2.745209e-04	
3.200000e-01	1.429187e-05	1.586716e-19	1.353632e-05	1.280880e-10	1.694257e-02	1.127680e-04	2.182021e-02	2.184614e-03	4.005675e-02	4.769679e-05	4.222005e-02	4.208470e-04	
3.300000e-01	1.333461e-05	1.480439e-19	1.264959e-05	1.172537e-10	1.736771e-02	1.163355e-04	2.232571e-02	2.443954e-03	4.132400e-02	4.889367e-05	4.350825e-02	5.819143e-04	
3.400000e-01	1.241497e-05	1.378338e-19	1.179671e-05	1.069615e-10	1.778377e-02	1.199208e-04	2.282802e-02	2.725846e-03	4.259753e-02	5.006496e-05	4.480059e-02	7.591413e-04	
3.500000e-01	1.153414e-05	1.280547e-19	1.097884e-05	9.722437e-11	1.819055e-02	1.235263e-04	2.329976e-02	3.029575e-03	4.387827e-02	5.121011e-05	4.609812e-02	9.541795e-04	
3.600000e-01	1.069299e-05	1.187160e-19	1.019680e-05	8.803910e-11	1.858785e-02	1.271550e-04	2.374968e-02	3.358601e-03	4.516722e-02	5.232859e-05	4.740218e-02	1.168874e-03	
3.700000e-01	9.892069e-06	1.098240e-19	9.451176e-06	7.940357e-11	1.897548e-02	1.308098e-04	2.417594e-02	3.715411e-03	4.646547e-02	5.341987e-05	4.756878e-02	7.477454e-04	
3.800000e-01	9.131659e-06	1.013818e-19	8.742272e-06	7.132680e-11	1.935328e-02	1.344941e-04	2.457732e-02	4.102779e-03	4.777417e-02	5.448345e-05	4.882797e-02	7.260705e-04	
3.900000e-01	8.411756e-06	9.338925e-20	8.070156e-06	6.378728e-11	1.972108e-02	1.382112e-04	2.495243e-02	4.523706e-03	4.909455e-02	5.551886e-05	5.009112e-02	7.012900e-04	
4.000000e-01	7.732113e-06	8.584369e-20	7.434658e-06	5.678470e-11	2.007870e-02	1.419649e-04	2.529947e-02	4.981370e-03	5.042793e-02	5.652564e-05	5.135904e-02	6.732539e-04	
4.100000e-01	7.092254e-06	7.873983e-20	6.835406e-06	5.030543e-11	2.042599e-02	1.457592e-04	2.561698e-02	5.479287e-03	5.177570e-02	5.750335e-05	5.263253e-02	6.418067e-04	
4.200000e-01	6.491499e-06	7.207012e-20	6.271842e-06	4.432463e-11	2.076281e-02	1.495981e-04	2.590324e-02	6.021230e-03	5.313935e-02	5.845156e-05	5.391241e-02	6.067881e-04	
4.300000e-01	5.928987e-06	6.582498e-20	5.743221e-06	3.883321e-11	2.108901e-02	1.534862e-04	2.615631e-02	6.611249e-03	5.452046e-02	5.936988e-05	5.519967e-02	5.680347e-04	
4.400000e-01	5.403694e-06	5.999306e-20	5.248684e-06	3.381067e-11	2.140445e-02	1.574282e-04	2.637417e-02	7.253723e-03	5.592069e-02	6.025791e-05	5.649502e-02	5.253760e-04	
4.500000e-01	4.914461e-06	5.456148e-20	4.787213e-06	2.923143e-11	2.170901e-02	1.614290e-04	2.655480e-02	7.953402e-03	5.734183e-02	6.111531e-05	5.779948e-02	4.786413e-04	
4.600000e-01	4.460012e-06	4.951609e-20	4.357693e-06	2.507682e-11	2.200257e-02	1.654938e-04	2.669561e-02	8.715289e-03	5.878573e-02	6.194174e-05	5.768809e-02	1.221178e-03	
4.700000e-01	4.038976e-06	4.484164e-20	3.958918e-06	2.132119e-11	2.228501e-02	1.696284e-04	2.679438e-02	9.544914e-03	6.025438e-02	6.273686e-05	5.901595e-02	1.126818e-03	
4.800000e-01	3.649905e-06	4.052209e-20	3.589606e-06	1.794546e-11	2.255623e-02	1.738385e-04	2.684820e-02	1.044805e-02	6.174986e-02	6.350039e-05	6.035893e-02	1.025362e-03	
4.900000e-01	3.291298e-06	3.654075e-20	3.248426e-06	1.492297e-11	2.281612e-02	1.781304e-04	2.685440e-02	1.143104e-02	6.327439e-02	6.423204e-05	6.171812e-02	9.800318e-04	
5.000000e-01	2.961611e-06	3.288049e-20	2.934004e-06	1.222973e-11	2.306460e-02	1.825105e-04	2.680983e-02	1.250055e-02	6.483028e-02	6.493155e-05	6.309461e-02	1.009377e-03	
5.100000e-01	2.659282e-06	2.952396e-20	2.644941e-06	9.842887e-12	2.330157e-02	1.869859e-04	2.424799e-02	8.122466e-03	6.641999e-02	6.559870e-05	6.448948e-02	1.042237e-03	
5.200000e-01	2.382738e-06	2.645370e-20	2.379826e-06	7.739486e-12	2.352698e-02	1.915637e-04	2.409986e-02	9.024078e-03	6.804609e-02	6.623325e-05	6.590377e-02	1.078986e-03	
5.300000e-01	2.130412e-06	2.365233e-20	2.137251e-06	5.896225e-12	2.374073e-02	1.962516e-04	2.389588e-02	1.001543e-02	6.971130e-02	6.683502e-05	6.733844e-02	1.120008e-03	
5.400000e-01	1.900758e-06	2.110266e-20	1.915822e-06	4.292039e-12	2.394278e-02	2.010576e-04	2.363208e-02	1.110516e-02	7.141847e-02	6.740384e-05	6.879439e-02	1.179518e-03	
5.500000e-01	1.692255e-06	1.878781e-20	1.714163e-06	2.905988e-12	2.413307e-02	2.059902e-04	2.330408e-02	1.230262e-02	7.317061e-02	6.793953e-05	7.027244e-02	1.251818e-03	
5.600000e-01	1.503422e-06	1.669134e-20	1.530933e-06	1.720309e-12	2.431155e-02	2.110584e-04	2.288776e-02	1.168385e-02	7.497089e-02	6.844198e-05	7.288707e-02	8.094120e-04	
5.700000e-01	1.332822e-06	1.479729e-20	1.364824e-06	7.279144e-13	2.447818e-02	2.162714e-04	2.290761e-02	1.194658e-02	7.682261e-02	6.891107e-05	7.439205e-02	7.767171e-04	
5.800000e-01	1.179069e-06	1.309030e-20	1.214576e-06	4.463163e-13	2.463292e-02	2.216390e-04	2.995571e-02	1.123274e-02	7.872927e-02	6.934671e-05	7.591711e-02	7.441764e-04	
5.900000e-01	1.040837e-06	1.155562e-20	1.078978e-06	9.038371e-13	2.477576e-02	2.271716e-04	2.690451e-02	1.098525e-02	8.069453e-02	6.974882e-05	7.746224e-02	7.119903e-04	
6.000000e-01	9.168597e-07	1.017919e-20	9.568698e-07	1.476167e-12	2.490666e-02	2.328801e-04	2.725408e-02	9.009896e-03	8.272225e-02	7.011735e-05	7.902716e-02	7.202533e-04	
6.100000e-01	8.059340e-07	8.947665e-21	8.471486e-07	1.943183e-12	2.502563e-02	2.387757e-04	2.758216e-02	9.640128e-03	8.481648e-02	7.045228e-05	8.061137e-02	8.476198e-04	
6.200000e-01	7.069241e-07	7.848434e-21	7.487694e-07	2.313344e-12	2.513266e-02	2.448706e-04	2.788647e-02	1.168441e-02	8.698145e-02	7.075359e-05	8.221398e-02	9.796560e-04	
6.300000e-01	6.187611e-07	6.869628e-21	6.607466e-07	2.597794e-12	2.522775e-02	2.511772e-04	5.668476e-02	9.551795e-03	8.922164e-02	7.102128e-05	5.730502e-02	8.003028e-04	
6.400000e-01	5.404433e-07	6.000126e-21	5.821544e-07	2.807461e-12	2.531091e-02	2.577087e-04	5.077197e-02	5.634634e-03	9.154172e-02	7.125539e-05	8.546919e-02	1.256558e-03	
6.500000e-01	4.710364e-07	5.229555e-21	5.121265e-07	2.952506e-12	2.538216e-02	2.644790e-04	2.131517e-02	1.167589e-02	9.394662e-02	7.145597e-05	8.781446e-02	1.023591e-03	
