qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	1.017179e-02	1.129296e-16	7.822587e-03	1.346201e-07	1.065320e-04	1.672651e-18	1.248431e-04	2.140219e-08	-4.565225e-18	2.999094e-07	-2.013144e-11	3.512270e-07	
2.000000e-02	1.009794e-02	1.121096e-16	7.768048e-03	1.334117e-07	2.128446e-04	3.341857e-18	2.493579e-04	4.270036e-08	-9.126082e-18	5.992010e-07	-1.212155e-11	7.009163e-07	
3.000000e-02	9.976040e-03	1.107563e-16	7.678009e-03	1.314333e-07	3.187188e-04	5.004181e-18	3.732151e-04	6.371506e-08	-1.365017e-17	8.972587e-07	-4.020610e-12	1.048147e-06	
4.000000e-02	9.807851e-03	1.088890e-16	7.553737e-03	1.287073e-07	4.239373e-04	6.656208e-18	4.961212e-04	8.439820e-08	-1.816605e-17	1.193470e-06	4.057262e-12	1.392005e-06	
5.000000e-02	9.595773e-03	1.065345e-16	7.396954e-03	1.252860e-07	5.282844e-04	8.294554e-18	6.177131e-04	1.045113e-07	-2.267174e-17	1.487229e-06	1.199915e-11	1.731586e-06	
6.000000e-02	9.342789e-03	1.037258e-16	7.210096e-03	1.211622e-07	6.315471e-04	9.915874e-18	7.376491e-04	1.238375e-07	-2.706755e-17	1.777934e-06	1.969337e-11	2.065917e-06	
7.000000e-02	9.052402e-03	1.005018e-16	6.995104e-03	1.164648e-07	7.335157e-04	1.151687e-17	8.556257e-04	1.423755e-07	-3.145667e-17	2.064997e-06	2.703319e-11	2.394269e-06	
8.000000e-02	8.728547e-03	9.690634e-17	6.755132e-03	1.112868e-07	8.339840e-04	1.309432e-17	9.713504e-04	1.599851e-07	-3.578143e-17	2.347836e-06	3.391370e-11	2.715702e-06	
9.000000e-02	8.375508e-03	9.298682e-17	6.493037e-03	1.056635e-07	9.327506e-04	1.464505e-17	1.084478e-03	1.762779e-07	-4.000334e-17	2.625884e-06	4.023640e-11	3.029476e-06	
1.000000e-01	7.997823e-03	8.879367e-17	6.212631e-03	9.967055e-08	1.029619e-03	1.616597e-17	1.194734e-03	1.915849e-07	-4.415447e-17	2.898588e-06	4.590354e-11	3.334523e-06	
1.100000e-01	7.600182e-03	8.437897e-17	5.916857e-03	9.340801e-08	1.124398e-03	1.765408e-17	1.301795e-03	2.053526e-07	-4.823487e-17	3.165410e-06	5.082929e-11	3.630250e-06	
1.200000e-01	7.187339e-03	7.979550e-17	5.609428e-03	8.693464e-08	1.216902e-03	1.910649e-17	1.405404e-03	2.176674e-07	-5.215046e-17	3.425829e-06	5.492966e-11	3.915718e-06	
1.300000e-01	6.764016e-03	7.509566e-17	5.293673e-03	8.035041e-08	1.306954e-03	2.052039e-17	1.505295e-03	2.283984e-07	-5.603224e-17	3.679344e-06	5.813086e-11	4.190218e-06	
