qt_to_Q	unpol_bn	err	unpol_rc	err	sivers_bn	err	sivers_rc	err	collins_bn	err	collins_rc	err
1.000000e-02	4.256231e-05	4.725366e-19	3.945741e-05	4.794314e-10	5.812543e-04	9.126229e-18	9.506171e-04	7.274451e-04	-2.492952e-17	1.636350e-06	-3.022259e-04	7.342224e-04	
2.000000e-02	4.242630e-05	4.710266e-19	3.933350e-05	4.777974e-10	1.162193e-03	1.824751e-17	1.440634e-03	7.060148e-04	-4.983847e-17	3.271811e-06	-1.442878e-04	7.195518e-04	
3.000000e-02	4.220058e-05	4.685206e-19	3.912783e-05	4.748545e-10	1.742501e-03	2.735888e-17	1.928293e-03	6.807871e-04	-7.475856e-17	4.905498e-06	1.516893e-05	7.010502e-04	
4.000000e-02	4.188660e-05	4.650346e-19	3.884167e-05	4.704864e-10	2.321864e-03	3.645542e-17	2.413304e-03	6.518970e-04	-9.952384e-17	6.536523e-06	1.759710e-04	6.788632e-04	
5.000000e-02	4.148633e-05	4.605908e-19	3.847685e-05	4.655005e-10	2.899968e-03	4.553218e-17	2.895426e-03	6.195081e-04	-1.244428e-16	8.164003e-06	3.379429e-04	6.531424e-04	
6.000000e-02	4.100230e-05	4.552170e-19	3.803568e-05	4.591736e-10	3.476499e-03	5.458425e-17	3.374422e-03	5.837875e-04	-1.491330e-16	9.787057e-06	5.009067e-04	6.240464e-04	
7.000000e-02	4.043755e-05	4.489470e-19	3.752078e-05	4.517610e-10	4.051146e-03	6.360674e-17	3.849928e-03	5.448877e-04	-1.735751e-16	1.140481e-05	6.646845e-04	5.917417e-04	
8.000000e-02	3.979558e-05	4.418197e-19	3.693538e-05	4.434073e-10	4.623599e-03	7.259477e-17	4.321895e-03	5.030161e-04	-1.981208e-16	1.301638e-05	8.290949e-04	5.563992e-04	
9.000000e-02	3.908032e-05	4.338787e-19	3.628302e-05	4.341174e-10	5.193547e-03	8.154349e-17	4.789882e-03	4.583288e-04	-2.224803e-16	1.462090e-05	9.939556e-04	5.181959e-04	
1.000000e-01	3.829612e-05	4.251724e-19	3.556759e-05	4.239098e-10	5.760685e-03	9.044808e-17	5.253788e-03	4.110296e-04	-2.467552e-16	1.621751e-05	1.159084e-03	4.773157e-04	
1.100000e-01	3.744767e-05	4.157527e-19	3.479333e-05	4.128946e-10	6.324707e-03	9.930375e-17	5.713316e-03	3.613048e-04	-2.708222e-16	1.780534e-05	1.324294e-03	4.339476e-04	
1.200000e-01	3.653998e-05	4.056753e-19	3.396477e-05	4.012316e-10	6.885310e-03	1.081057e-16	6.168237e-03	3.093530e-04	-2.953120e-16	1.938356e-05	1.489400e-03	3.882868e-04	
