qt_Q	Born          	RC      	err
0.02	0.000255784	0.000194313	8.30996e-11
0.05	0.000243064	0.000181643	1.43594e-10
0.08	0.000221097	0.000162839	6.207e-11
0.11	0.000192515	0.000139957	4.48653e-11
0.14	0.000160463	0.000115301	4.302e-11
0.17	0.000128033	9.10341e-05	3.17943e-11
0.2	9.77959e-05	6.88741e-05	2.355e-11
0.23	7.15131e-05	4.99285e-05	1.64854e-11
0.26	5.00652e-05	3.46782e-05	1.2466e-11
0.29	3.35577e-05	2.30762e-05	8.66242e-12
0.32	2.15367e-05	1.47119e-05	6.09155e-12
0.35	1.3235e-05	8.98599e-06	4.05441e-12
0.38	7.78859e-06	5.2586e-06	2.49721e-12
0.41	4.38953e-06	2.94846e-06	1.49588e-12
0.44	2.3694e-06	1.58405e-06	8.85599e-13
0.47	1.22508e-06	8.15486e-07	4.90832e-13
0.5	6.06796e-07	4.02329e-07	2.65455e-13
0.53	2.87954e-07	1.90244e-07	1.36364e-13
0.56	1.30936e-07	8.62323e-08	6.84844e-14
0.59	5.70574e-08	3.74755e-08	3.24753e-14
0.62	2.38311e-08	1.56201e-08	1.4828e-14
0.65	9.5417e-09	6.24788e-09	6.64155e-15
0.68	3.66292e-09	2.40108e-09	2.8783e-15
0.71	1.34842e-09	8.88929e-10	1.26269e-15
0.74	4.76101e-10	3.191e-10	5.49588e-16
0.77	1.61262e-10	1.12866e-10	2.46957e-16
0.8	5.24096e-11	4.02556e-11	9.60846e-17
0.83	1.63464e-11	1.63877e-11	5.33021e-17
0.86	4.89385e-12	8.05672e-12	2.82309e-17
0.89	1.40665e-12	5.04846e-12	1.62494e-17
0.92	3.88256e-13	3.76304e-12	9.69376e-18
0.95	1.02926e-13	2.92587e-12	4.65418e-18
0.98	2.62114e-14	1.45576e-12	1.87805e-18
1.01	6.41335e-15	1.2146e-12	1.20875e-18
1.04	1.50792e-15	1.02861e-12	1.02725e-18
1.07	3.40746e-16	8.71467e-13	8.71113e-19
1.1	7.40106e-17	7.47238e-13	7.47036e-19
1.13	1.54528e-17	6.45253e-13	6.451e-19
1.16	3.10174e-18	8.18422e-13	8.1831e-19
1.19	5.98562e-19	7.12379e-13	7.1219e-19
1.22	1.11053e-19	6.26178e-13	6.26138e-19
1.25	1.98092e-20	5.50052e-13	5.50047e-19
1.28	3.39714e-21	4.84115e-13	4.8411e-19
1.31	5.60086e-22	4.31015e-13	4.3099e-19
1.34	8.87698e-23	3.77566e-13	3.77554e-19
1.37	1.35243e-23	3.35059e-13	3.35048e-19
1.4	1.98047e-24	2.9711e-13	2.97107e-19
1.43	2.78732e-25	2.64361e-13	2.6434e-19
1.46	3.76987e-26	2.35644e-13	2.35624e-19
1.49	4.89942e-27	3.02265e-13	3.07694e-19

