qt_Q	Born          	RC      	err
0.02	8.16229e-06	7.71925e-06	1.3926e-12
0.05	8.11957e-06	7.66896e-06	1.31013e-12
0.08	8.04083e-06	7.58528e-06	1.26071e-12
0.11	7.92711e-06	7.46931e-06	1.38422e-12
0.14	7.77993e-06	7.32253e-06	1.40999e-12
0.17	7.60122e-06	7.14681e-06	1.46523e-12
0.2	7.39328e-06	6.94436e-06	1.32982e-12
0.23	7.15877e-06	6.7177e-06	1.38989e-12
0.26	6.90058e-06	6.46956e-06	1.20232e-12
0.29	6.62186e-06	6.20289e-06	1.00683e-12
0.32	6.32588e-06	5.92074e-06	8.82781e-13
0.35	6.01602e-06	5.62624e-06	9.3957e-13
0.38	5.69566e-06	5.32254e-06	1.1162e-12
0.41	5.36816e-06	5.01273e-06	9.21674e-13
0.44	5.0368e-06	4.69983e-06	1.35586e-12
0.47	4.70468e-06	4.3867e-06	1.31645e-12
0.5	4.37475e-06	4.07604e-06	7.61673e-13
0.53	4.04971e-06	3.77031e-06	7.85576e-13
0.56	3.732e-06	3.47175e-06	1.13871e-12
0.59	3.42378e-06	3.18232e-06	8.55381e-13
0.62	3.12693e-06	2.90373e-06	5.65703e-13
0.65	2.84301e-06	2.63739e-06	2.81355e-13
0.68	2.57327e-06	2.38444e-06	2.85047e-13
0.71	2.31868e-06	2.14572e-06	1.64401e-13
0.74	2.07991e-06	1.92184e-06	1.72733e-13
0.77	1.85736e-06	1.71314e-06	1.55937e-13
0.8	1.65118e-06	1.51973e-06	1.25639e-13
0.83	1.46131e-06	1.34152e-06	7.12485e-14
0.86	1.28748e-06	1.17823e-06	5.69491e-14
0.89	1.12923e-06	1.02941e-06	4.43449e-14
0.92	9.86e-07	8.94478e-07	2.70267e-14
0.95	8.57076e-07	7.7271e-07	2.05526e-14
0.98	7.41669e-07	6.63271e-07	1.51534e-14

